#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cytb_beast" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cytb_beast" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cytb_beast">
#                <taxonset id="TaxonSet.cytb_beast" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cytb_beast" name="distribution" x="@birthRate.t:cytb_beast">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:cytb_beast" name="distribution">
#            <parameter id="kappa.s:cytb_beast" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:cytb_beast" name="distribution">
#            <parameter id="ucldMean.c:cytb_beast" name="x">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:cytb_beast" name="distribution">
#            <parameter id="ucldStdev.c:cytb_beast" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="cats1.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cytb_beast">
#            <taxonset id="cats1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="EF689045_Felis_silvestris" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="EF689048_Lynx_pardinus" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.3" meanInRealSpace="true" name="distr">
#                <parameter estimate="false" id="RealParameter.12" name="M">12.0</parameter>
#                <parameter estimate="false" id="RealParameter.13" lower="0.0" name="S" upper="5.0">1.2</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@cytb_beast" id="treeLikelihood.cytb_beast" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:cytb_beast">
#            <siteModel id="SiteModel.s:cytb_beast" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:cytb_beast" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:cytb_beast" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:cytb_beast" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:cytb_beast" kappa="@kappa.s:cytb_beast" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:cytb_beast" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:cytb_beast" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:cytb_beast" id="RelaxedClock.c:cytb_beast" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:cytb_beast">
#                <LogNormal S="@ucldStdev.c:cytb_beast" id="LogNormalDistributionModel.c:cytb_beast" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="80" id="rateCategories.c:cytb_beast" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	mutationRate	YuleModel	birthRate	ucldMean	monophyletic(cats1)	logP(mrca(cats1))	mrcatime(cats1)	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
12000	-2651.6265010825564	-2758.806024277804	107.1795231952479	-2758.806024277804	0.09349465503977156	12.499726295577046	0.7122222666224663	0.5117877337789927	0.11065121233262955	0.7588927302478808	1.0	120.65552069675188	53.52075221959162	0.42850184477843656	0	-7.3757207011285555	0.028553988754702116	0.23395545556875322	0.25744043166523434	0.2347000430648058	0.2739040697012067
13000	-2666.3421689259408	-2764.6178686641633	98.27569973822264	-2764.6178686641633	0.1201025894229255	12.499726295577046	0.6729139772039812	0.4776016361583034	0.07162501845267494	0.6895136929930029	1.0	110.4362371169518	45.21812594800213	0.41885122560113625	0	-6.189326878469451	0.045617308332985405	0.23395545556875322	0.25744043166523434	0.2347000430648058	0.2739040697012067
14000	-2702.204528870806	-2757.601302038876	55.396773168070055	-2757.601302038876	0.38758228607523926	12.499726295577046	0.6263712338103585	0.14498653438886444	0.006089021160193233	0.6267195578641861	1.0	65.26896928770749	14.8875884798481	0.13405788133723054	0	-4.0558560042804395	0.13261819500707947	0.23395545556875322	0.25744043166523434	0.2347000430648058	0.2739040697012067
15000	-2700.837515405591	-2752.080219221506	51.24270381591493	-2752.080219221506	0.4290228912558412	12.499726295577046	0.6290195955058995	0.14333933762654766	0.007156620269227685	0.6733593120674786	1.0	61.801649867282336	14.279675185412575	0.13445329708263484	0	-4.733728721982763	0.09026899745949568	0.23395545556875322	0.25744043166523434	0.2347000430648058	0.2739040697012067
16000	-2682.90843497343	-2751.7443450324126	68.83591005898275	-2751.7443450324126	0.26567897382458194	12.499726295577046	0.8242278949043443	0.21384953537909812	0.023675010877548183	0.8373829677886573	1.0	81.27617183376	23.23885997377303	0.2074751139077866	0	-5.979455091364077	0.04990054269060181	0.23921108319455534	0.2521848040394322	0.2347000430648058	0.2739040697012067
17000	-2697.3897588501327	-2756.1293213100985	58.739562459965924	-2756.1293213100985	0.3297971828999821	12.499726295577046	0.671125328744307	0.1698356006339932	0.009214155827894048	0.6840440521473051	1.0	68.74640260384422	15.86407212871924	0.14516030388794704	0	-4.041538597505106	0.1337914236509956	0.23921108319455534	0.2521848040394322	0.2347000430648058	0.2739040697012067
18000	-2675.6289775699747	-2733.8328798983894	58.203902328414806	-2733.8328798983894	0.34802794987724534	12.499726295577046	0.9533636037383075	0.1570651623277137	0.014052349875964683	0.9364596505714897	1.0	69.44897501359502	14.079919197130963	0.13130326063524073	0	-4.3791149902026145	0.10958952420072515	0.24664062953686744	0.2521848040394322	0.2272704967224937	0.2739040697012067
19000	-2685.130770128746	-2741.8260172568494	56.69524712810332	-2741.8260172568494	0.31682665374476315	12.499726295577046	0.9332366182237521	0.16932212058091275	0.012659223179227803	0.8317592202864392	1.0	67.5980035007342	12.438533127921845	0.1374750652991482	0	-4.099324743331249	0.1291447212105402	0.25480504851167507	0.2521848040394322	0.21910607774768606	0.2739040697012067
20000	-2701.3411471941563	-2742.672576846914	41.33142965275799	-2742.672576846914	0.43735259083771816	12.499726295577046	0.9890310690614589	0.11485265549932502	0.011511432380305654	1.1862282385620757	1.0	52.45433575353445	10.777102743889072	0.10164222861678514	0	-4.146643422770772	0.12550880757873975	0.24655577676365198	0.2604340757874553	0.21910607774768606	0.2739040697012067
21000	-2703.7157118892897	-2755.2485356783022	51.53282378901256	-2755.2485356783022	0.3967181244724244	12.499726295577046	0.6930991500441764	0.13956361409909784	0.006278534141355069	0.6728393965443932	1.0	62.27388551360083	11.972580346556223	0.12877250396073078	0	-4.7033892411437375	0.09172961476574165	0.24655577676365198	0.2604340757874553	0.21910607774768606	0.2739040697012067
22000	-2710.777339838428	-2758.5108393744213	47.733499535993424	-2758.5108393744213	0.38628035164967445	12.499726295577046	0.8223261791482458	0.13928919893655403	0.008616601487884774	0.7348529815716505	1.0	58.63215039310623	12.262334596978649	0.11732202705330741	0	-4.44388728492496	0.1056597827644134	0.2452576562275356	0.2604340757874553	0.21910607774768606	0.27520219023732306
23000	-2688.0127772024807	-2740.773964718591	52.76118751611008	-2740.773964718591	0.3666074583500119	12.499726295577046	0.5937411804931968	0.13418663163784708	0.004063225581097347	0.5552329175130575	1.0	62.97665895414099	14.38811545346396	0.10769519773833205	0	-4.509203948006439	0.1018924213645817	0.2452576562275356	0.2604340757874553	0.21910607774768606	0.27520219023732306
